Дата,Локация,Температура,Осадки
0-april-2025,Новая Москва Брянская область Красногорский район (Россия),+9°,Сильный дождь
1-april-2025,Новая Москва Брянская область Красногорский район (Россия),+12°,Пасмурно
2-april-2025,Новая Москва Брянская область Красногорский район (Россия),+16°,Ясно
3-april-2025,Новая Москва Брянская область Красногорский район (Россия),+19°,Частично облачно
4-april-2025,Новая Москва Брянская область Красногорский район (Россия),+10°,Пасмурно
5-april-2025,Новая Москва Брянская область Красногорский район (Россия),-1°,Сильный снег
6-april-2025,Новая Москва Брянская область Красногорский район (Россия),-1°,Снег
7-april-2025,Новая Москва Брянская область Красногорский район (Россия),0°,Пасмурно
8-april-2025,Новая Москва Брянская область Красногорский район (Россия),+2°,Пасмурно
9-april-2025,Новая Москва Брянская область Красногорский район (Россия),0°,Пасмурно
10-april-2025,Новая Москва Брянская область Красногорский район (Россия),+4°,Незначительная облачность
11-april-2025,Новая Москва Брянская область Красногорский район (Россия),+6°,Пасмурно
12-april-2025,Новая Москва Брянская область Красногорский район (Россия),+8°,Пасмурно
13-april-2025,Новая Москва Брянская область Красногорский район (Россия),+18°,Ясно
14-april-2025,Новая Москва Брянская область Красногорский район (Россия),+18°,Ясно
15-april-2025,Новая Москва Брянская область Красногорский район (Россия),+17°,Пасмурно
16-april-2025,Новая Москва Брянская область Красногорский район (Россия),+21°,Частично облачно
17-april-2025,Новая Москва Брянская область Красногорский район (Россия),+24°,Преимущественно облачно
18-april-2025,Новая Москва Брянская область Красногорский район (Россия),+24°,Частично облачно
19-april-2025,Новая Москва Брянская область Красногорский район (Россия),+25°,Ясно
20-april-2025,Новая Москва Брянская область Красногорский район (Россия),+26°,Ясно
21-april-2025,Новая Москва Брянская область Красногорский район (Россия),+27°,Незначительная облачность
22-april-2025,Новая Москва Брянская область Красногорский район (Россия),+27°,Ясно
23-april-2025,Новая Москва Брянская область Красногорский район (Россия),+23°,Частично облачно
24-april-2025,Новая Москва Брянская область Красногорский район (Россия),+19°,Преимущественно облачно
25-april-2025,Новая Москва Брянская область Красногорский район (Россия),+10°,Преимущественно облачно
26-april-2025,Новая Москва Брянская область Красногорский район (Россия),+7°,Пасмурно
27-april-2025,Новая Москва Брянская область Красногорский район (Россия),+12°,Пасмурно
28-april-2025,Новая Москва Брянская область Красногорский район (Россия),+15°,Пасмурно
29-april-2025,Новая Москва Брянская область Красногорский район (Россия),+16°,Частично облачно
0-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+17°,Частично облачно
1-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+12°,Слабый дождь
2-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+15°,Ясно
3-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+18°,Незначительная облачность
4-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+10°,Пасмурно
5-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+15°,Местами сильный дождь
6-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+13°,Пасмурно
7-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+3°,Дождь со снегом
8-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+4°,Преимущественно облачно
9-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+7°,Преимущественно облачно
10-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+8°,Пасмурно
11-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+7°,Преимущественно облачно
12-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+5°,Слабый дождь
13-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+11°,Ясно
14-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+19°,Преимущественно облачно
15-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+21°,Частично облачно
16-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+23°,Преимущественно облачно
17-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+20°,Преимущественно облачно
18-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+25°,Пасмурно
19-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+26°,Ясно
20-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+25°,Ясно
21-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+26°,Преимущественно облачно
22-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+26°,Ясно
23-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+24°,Незначительная облачность
24-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+21°,Дождь с грозой
25-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+4°,Кратковременные осадки
26-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+6°,Преимущественно облачно
27-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+6°,Пасмурно
28-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+15°,Пасмурно
29-april-2025,Москва-река Пензенская область Земетчинский район (Россия),+14°,Дождь
0-april-2025,Москва Тверская область Пеновский район (Россия),+15°,Пасмурно
1-april-2025,Москва Тверская область Пеновский район (Россия),+13°,Незначительная облачность
2-april-2025,Москва Тверская область Пеновский район (Россия),+14°,Ясно
3-april-2025,Москва Тверская область Пеновский район (Россия),+10°,Преимущественно облачно
4-april-2025,Москва Тверская область Пеновский район (Россия),+5°,Преимущественно облачно
5-april-2025,Москва Тверская область Пеновский район (Россия),+2°,Преимущественно облачно
6-april-2025,Москва Тверская область Пеновский район (Россия),-1°,Снег
7-april-2025,Москва Тверская область Пеновский район (Россия),+2°,Пасмурно
8-april-2025,Москва Тверская область Пеновский район (Россия),+4°,Пасмурно
9-april-2025,Москва Тверская область Пеновский район (Россия),+2°,Облачно и слабый снег
10-april-2025,Москва Тверская область Пеновский район (Россия),+2°,Облачно и слабый снег
11-april-2025,Москва Тверская область Пеновский район (Россия),+3°,Пасмурно
12-april-2025,Москва Тверская область Пеновский район (Россия),+8°,Незначительная облачность
13-april-2025,Москва Тверская область Пеновский район (Россия),+16°,Преимущественно облачно
14-april-2025,Москва Тверская область Пеновский район (Россия),+16°,Незначительная облачность
15-april-2025,Москва Тверская область Пеновский район (Россия),+19°,Преимущественно облачно
16-april-2025,Москва Тверская область Пеновский район (Россия),+15°,Преимущественно облачно
17-april-2025,Москва Тверская область Пеновский район (Россия),+24°,Ясно
18-april-2025,Москва Тверская область Пеновский район (Россия),+25°,Ясно
19-april-2025,Москва Тверская область Пеновский район (Россия),+23°,Пасмурно
20-april-2025,Москва Тверская область Пеновский район (Россия),+19°,"Сильный дождь, гроза"
21-april-2025,Москва Тверская область Пеновский район (Россия),+19°,Преимущественно облачно
22-april-2025,Москва Тверская область Пеновский район (Россия),+17°,Ясно
23-april-2025,Москва Тверская область Пеновский район (Россия),+14°,Пасмурно
24-april-2025,Москва Тверская область Пеновский район (Россия),+8°,Преимущественно облачно
25-april-2025,Москва Тверская область Пеновский район (Россия),+6°,Слабый дождь
26-april-2025,Москва Тверская область Пеновский район (Россия),+5°,Частично облачно
27-april-2025,Москва Тверская область Пеновский район (Россия),+10°,Пасмурно
28-april-2025,Москва Тверская область Пеновский район (Россия),+8°,Кратковременные осадки
29-april-2025,Москва Тверская область Пеновский район (Россия),+8°,Пасмурно
0-april-2025,Москва Псковская область Порховский район (Россия),+17°,Преимущественно облачно
1-april-2025,Москва Псковская область Порховский район (Россия),+16°,Ясно
2-april-2025,Москва Псковская область Порховский район (Россия),+15°,Преимущественно облачно
3-april-2025,Москва Псковская область Порховский район (Россия),+9°,Незначительная облачность
4-april-2025,Москва Псковская область Порховский район (Россия),+4°,Незначительная облачность
5-april-2025,Москва Псковская область Порховский район (Россия),+2°,Частично облачно
6-april-2025,Москва Псковская область Порховский район (Россия),+4°,Незначительная облачность
7-april-2025,Москва Псковская область Порховский район (Россия),+3°,Пасмурно
8-april-2025,Москва Псковская область Порховский район (Россия),0°,Сильный снег
9-april-2025,Москва Псковская область Порховский район (Россия),+2°,Незначительная облачность
10-april-2025,Москва Псковская область Порховский район (Россия),+1°,Небольшой снег с дождем
11-april-2025,Москва Псковская область Порховский район (Россия),0°,Снег
12-april-2025,Москва Псковская область Порховский район (Россия),+11°,Незначительная облачность
13-april-2025,Москва Псковская область Порховский район (Россия),+19°,Пасмурно
14-april-2025,Москва Псковская область Порховский район (Россия),+19°,Ясно
15-april-2025,Москва Псковская область Порховский район (Россия),+21°,Преимущественно облачно
16-april-2025,Москва Псковская область Порховский район (Россия),+14°,Слабый дождь
17-april-2025,Москва Псковская область Порховский район (Россия),+22°,Ясно
18-april-2025,Москва Псковская область Порховский район (Россия),+27°,Ясно
19-april-2025,Москва Псковская область Порховский район (Россия),+19°,Преимущественно облачно
20-april-2025,Москва Псковская область Порховский район (Россия),+18°,Дождь с грозой
21-april-2025,Москва Псковская область Порховский район (Россия),+14°,Частично облачно
22-april-2025,Москва Псковская область Порховский район (Россия),+14°,Частично облачно
23-april-2025,Москва Псковская область Порховский район (Россия),+11°,Слабый дождь
24-april-2025,Москва Псковская область Порховский район (Россия),+8°,Частично облачно
25-april-2025,Москва Псковская область Порховский район (Россия),+5°,Дождь
26-april-2025,Москва Псковская область Порховский район (Россия),+7°,Преимущественно облачно
27-april-2025,Москва Псковская область Порховский район (Россия),+8°,Слабый дождь
28-april-2025,Москва Псковская область Порховский район (Россия),+8°,Пасмурно
29-april-2025,Москва Псковская область Порховский район (Россия),+9°,Слабый дождь
0-april-2025,Москва Кировская область Верхошижемский район (Россия),+11°,Пасмурно
1-april-2025,Москва Кировская область Верхошижемский район (Россия),+8°,Слабый дождь
2-april-2025,Москва Кировская область Верхошижемский район (Россия),+5°,Частично облачно
3-april-2025,Москва Кировская область Верхошижемский район (Россия),+9°,Пасмурно
4-april-2025,Москва Кировская область Верхошижемский район (Россия),+4°,Пасмурно
5-april-2025,Москва Кировская область Верхошижемский район (Россия),+1°,Облачно и слабый снег
6-april-2025,Москва Кировская область Верхошижемский район (Россия),0°,Пасмурно
7-april-2025,Москва Кировская область Верхошижемский район (Россия),+1°,Сильный дождь
8-april-2025,Москва Кировская область Верхошижемский район (Россия),+4°,Преимущественно облачно
9-april-2025,Москва Кировская область Верхошижемский район (Россия),+3°,Пасмурно
10-april-2025,Москва Кировская область Верхошижемский район (Россия),+6°,Пасмурно
11-april-2025,Москва Кировская область Верхошижемский район (Россия),+2°,Снег с дождем
12-april-2025,Москва Кировская область Верхошижемский район (Россия),+2°,Пасмурно
13-april-2025,Москва Кировская область Верхошижемский район (Россия),+8°,Ясно
14-april-2025,Москва Кировская область Верхошижемский район (Россия),+16°,Преимущественно облачно
15-april-2025,Москва Кировская область Верхошижемский район (Россия),+10°,Ясно
16-april-2025,Москва Кировская область Верхошижемский район (Россия),+17°,Частично облачно
17-april-2025,Москва Кировская область Верхошижемский район (Россия),+21°,Частично облачно
18-april-2025,Москва Кировская область Верхошижемский район (Россия),+23°,Незначительная облачность
19-april-2025,Москва Кировская область Верхошижемский район (Россия),+15°,Местами сильный дождь
20-april-2025,Москва Кировская область Верхошижемский район (Россия),+22°,Преимущественно облачно
21-april-2025,Москва Кировская область Верхошижемский район (Россия),+8°,Кратковременные осадки
22-april-2025,Москва Кировская область Верхошижемский район (Россия),+11°,Преимущественно облачно
23-april-2025,Москва Кировская область Верхошижемский район (Россия),+11°,Кратковременные осадки
24-april-2025,Москва Кировская область Верхошижемский район (Россия),+14°,Ясно
25-april-2025,Москва Кировская область Верхошижемский район (Россия),+11°,Пасмурно
26-april-2025,Москва Кировская область Верхошижемский район (Россия),+3°,Пасмурно
27-april-2025,Москва Кировская область Верхошижемский район (Россия),+5°,Пасмурно
28-april-2025,Москва Кировская область Верхошижемский район (Россия),+9°,Пасмурно
29-april-2025,Москва Кировская область Верхошижемский район (Россия),+7°,Сильный дождь
0-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+12°,Незначительная облачность
1-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+16°,Преимущественно облачно
2-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+11°,Ясно
3-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+9°,Преимущественно облачно
4-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+16°,Преимущественно облачно
5-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+18°,Частично облачно
6-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+16°,Преимущественно облачно
7-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+19°,Преимущественно облачно
8-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+9°,Пасмурно
9-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),0°,Частично облачно и кратковременный снег
10-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+6°,Преимущественно облачно
11-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+6°,Преимущественно облачно
12-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+10°,Пасмурно
13-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+5°,Пасмурно
14-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+11°,Ясно
15-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+16°,Ясно
16-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+15°,Преимущественно облачно
17-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+20°,Пасмурно
18-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+22°,Частично облачно
19-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+23°,Дождь с грозой
20-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+25°,Незначительная облачность
21-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+23°,Частично облачно
22-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+22°,Частично облачно
23-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+22°,Преимущественно облачно
24-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+14°,Слабый дождь
25-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+20°,Незначительная облачность
26-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+15°,Незначительная облачность
27-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+1°,Снег
28-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+9°,Ясно
29-april-2025,Менеуз-Москва Башкортостан Бижбулякский район (Россия),+11°,Пасмурно
0-april-2025,Москва Московская область (Россия),+13°,Пасмурно
1-april-2025,Москва Московская область (Россия),+13°,Ясно
2-april-2025,Москва Московская область (Россия),+13°,Ясно
3-april-2025,Москва Московская область (Россия),+16°,Частично облачно
4-april-2025,Москва Московская область (Россия),+7°,Пасмурно
5-april-2025,Москва Московская область (Россия),-1°,Снег
6-april-2025,Москва Московская область (Россия),+1°,Пасмурно
7-april-2025,Москва Московская область (Россия),0°,Снег
8-april-2025,Москва Московская область (Россия),+1°,Пасмурно
9-april-2025,Москва Московская область (Россия),+2°,Облачно и слабый снег
10-april-2025,Москва Московская область (Россия),+4°,Пасмурно
11-april-2025,Москва Московская область (Россия),+4°,Преимущественно облачно
12-april-2025,Москва Московская область (Россия),+8°,Ясно
13-april-2025,Москва Московская область (Россия),+13°,Частично облачно
14-april-2025,Москва Московская область (Россия),+17°,Пасмурно
15-april-2025,Москва Московская область (Россия),+20°,Ясно
16-april-2025,Москва Московская область (Россия),+18°,Пасмурно
17-april-2025,Москва Московская область (Россия),+23°,Пасмурно
18-april-2025,Москва Московская область (Россия),+25°,Ясно
19-april-2025,Москва Московская область (Россия),+25°,Ясно
20-april-2025,Москва Московская область (Россия),+26°,Незначительная облачность
21-april-2025,Москва Московская область (Россия),+24°,Незначительная облачность
22-april-2025,Москва Московская область (Россия),+26°,Незначительная облачность
23-april-2025,Москва Московская область (Россия),+19°,Ясно
24-april-2025,Москва Московская область (Россия),+16°,Дождь
25-april-2025,Москва Московская область (Россия),+7°,Преимущественно облачно
26-april-2025,Москва Московская область (Россия),+5°,Пасмурно
27-april-2025,Москва Московская область (Россия),+10°,Пасмурно
28-april-2025,Москва Московская область (Россия),+10°,Кратковременные осадки
29-april-2025,Москва Московская область (Россия),+10°,Пасмурно
0-april-2025,Москва Лодзинское воеводство (Польша),+12°,Частично облачно
1-april-2025,Москва Лодзинское воеводство (Польша),+15°,Ясно
2-april-2025,Москва Лодзинское воеводство (Польша),+16°,Ясно
3-april-2025,Москва Лодзинское воеводство (Польша),+19°,Частично облачно
4-april-2025,Москва Лодзинское воеводство (Польша),+7°,Частично облачно
5-april-2025,Москва Лодзинское воеводство (Польша),+2°,Преимущественно облачно
6-april-2025,Москва Лодзинское воеводство (Польша),+4°,Пасмурно
7-april-2025,Москва Лодзинское воеводство (Польша),+7°,Пасмурно
8-april-2025,Москва Лодзинское воеводство (Польша),+9°,Пасмурно
9-april-2025,Москва Лодзинское воеводство (Польша),+4°,Пасмурно
10-april-2025,Москва Лодзинское воеводство (Польша),+6°,Кратковременные осадки
11-april-2025,Москва Лодзинское воеводство (Польша),+14°,Пасмурно
12-april-2025,Москва Лодзинское воеводство (Польша),+20°,Ясно
13-april-2025,Москва Лодзинское воеводство (Польша),+21°,Незначительная облачность
14-april-2025,Москва Лодзинское воеводство (Польша),+19°,Пасмурно
15-april-2025,Москва Лодзинское воеводство (Польша),+23°,Незначительная облачность
16-april-2025,Москва Лодзинское воеводство (Польша),+27°,Частично облачно
17-april-2025,Москва Лодзинское воеводство (Польша),+25°,Частично облачно
18-april-2025,Москва Лодзинское воеводство (Польша),+17°,Частично облачно
19-april-2025,Москва Лодзинское воеводство (Польша),+21°,Частично облачно
20-april-2025,Москва Лодзинское воеводство (Польша),+23°,Пасмурно
21-april-2025,Москва Лодзинское воеводство (Польша),+20°,Незначительная облачность
22-april-2025,Москва Лодзинское воеводство (Польша),+19°,Частично облачно
23-april-2025,Москва Лодзинское воеводство (Польша),+19°,Преимущественно облачно
24-april-2025,Москва Лодзинское воеводство (Польша),+12°,Преимущественно облачно
25-april-2025,Москва Лодзинское воеводство (Польша),+10°,Ясно
26-april-2025,Москва Лодзинское воеводство (Польша),+11°,Ясно
27-april-2025,Москва Лодзинское воеводство (Польша),+16°,Ясно
28-april-2025,Москва Лодзинское воеводство (Польша),+19°,Пасмурно
29-april-2025,Москва Лодзинское воеводство (Польша),+19°,Незначительная облачность
